[rosmaster.main][INFO] 2023-02-03 14:14:57,877: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-02-03 14:14:57,877: Starting ROS Master Node
[xmlrpc][INFO] 2023-02-03 14:14:57,884: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-02-03 14:14:57,885: Started XML-RPC server [http://mrmunda-VirtualBox:11311/]
[xmlrpc][INFO] 2023-02-03 14:14:57,885: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-02-03 14:14:57,885: Master initialized: port[11311], uri[http://mrmunda-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-02-03 14:14:57,986: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-02-03 14:14:57,987: +PARAM [/roslaunch/uris/host_mrmunda_virtualbox__44505] by /roslaunch
[rosmaster.master][INFO] 2023-02-03 14:14:58,042: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-02-03 14:14:58,043: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-02-03 14:14:58,110: +SERVICE [/rosout/get_loggers] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:14:58,111: +SERVICE [/rosout/set_logger_level] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:14:58,113: +PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:14:58,115: +SUB [/rosout] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:31:47,307: -PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:31:47,310: -SUB [/rosout] /rosout http://mrmunda-VirtualBox:41803/
[rosmaster.master][INFO] 2023-02-03 14:31:47,311: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mrmunda-VirtualBox:38877
[rosmaster.master][INFO] 2023-02-03 14:31:47,312: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mrmunda-VirtualBox:38877
[rosmaster.main][INFO] 2023-02-03 14:31:47,466: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-02-03 14:31:47,466: stopping master...
[rospy.core][INFO] 2023-02-03 14:31:47,466: signal_shutdown [atexit]
