[rosmaster.main][INFO] 2023-02-02 20:08:44,085: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-02-02 20:08:44,085: Starting ROS Master Node
[xmlrpc][INFO] 2023-02-02 20:08:44,086: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-02-02 20:08:44,086: Started XML-RPC server [http://mrmunda-VirtualBox:11311/]
[xmlrpc][INFO] 2023-02-02 20:08:44,086: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-02-02 20:08:44,086: Master initialized: port[11311], uri[http://mrmunda-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-02-02 20:08:44,128: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 20:08:44,128: +PARAM [/roslaunch/uris/host_mrmunda_virtualbox__44673] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 20:08:44,158: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 20:08:44,159: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 20:08:44,177: +SERVICE [/rosout/get_loggers] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:08:44,177: +SERVICE [/rosout/set_logger_level] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:08:44,177: +PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:08:44,178: +SUB [/rosout] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:10:33,069: -PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:10:33,069: -SUB [/rosout] /rosout http://mrmunda-VirtualBox:42461/
[rosmaster.master][INFO] 2023-02-02 20:10:33,069: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mrmunda-VirtualBox:40063
[rosmaster.master][INFO] 2023-02-02 20:10:33,069: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mrmunda-VirtualBox:40063
[rosmaster.main][INFO] 2023-02-02 20:10:33,107: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-02-02 20:10:33,107: stopping master...
[rospy.core][INFO] 2023-02-02 20:10:33,107: signal_shutdown [atexit]
