[rosmaster.main][INFO] 2023-02-02 22:40:25,258: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-02-02 22:40:25,258: Starting ROS Master Node
[xmlrpc][INFO] 2023-02-02 22:40:25,259: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-02-02 22:40:25,259: Started XML-RPC server [http://mrmunda-VirtualBox:11311/]
[xmlrpc][INFO] 2023-02-02 22:40:25,260: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-02-02 22:40:25,260: Master initialized: port[11311], uri[http://mrmunda-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-02-02 22:40:25,350: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:40:25,351: +PARAM [/roslaunch/uris/host_mrmunda_virtualbox__43501] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:40:25,446: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:40:25,446: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:40:25,578: +SERVICE [/rosout/get_loggers] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:40:25,579: +SERVICE [/rosout/set_logger_level] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:40:25,579: +PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:40:25,583: +SUB [/rosout] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:42:00,422: -PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:42:00,423: -SUB [/rosout] /rosout http://mrmunda-VirtualBox:41047/
[rosmaster.master][INFO] 2023-02-02 22:42:00,424: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mrmunda-VirtualBox:57865
[rosmaster.master][INFO] 2023-02-02 22:42:00,424: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mrmunda-VirtualBox:57865
[rosmaster.main][INFO] 2023-02-02 22:42:00,525: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-02-02 22:42:00,525: stopping master...
[rospy.core][INFO] 2023-02-02 22:42:00,525: signal_shutdown [atexit]
