[rosmaster.main][INFO] 2023-02-02 19:27:09,773: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-02-02 19:27:09,773: Starting ROS Master Node
[xmlrpc][INFO] 2023-02-02 19:27:09,774: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-02-02 19:27:09,774: Started XML-RPC server [http://mrmunda-VirtualBox:11311/]
[xmlrpc][INFO] 2023-02-02 19:27:09,774: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-02-02 19:27:09,774: Master initialized: port[11311], uri[http://mrmunda-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-02-02 19:27:09,840: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 19:27:09,841: +PARAM [/roslaunch/uris/host_mrmunda_virtualbox__34201] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 19:27:09,865: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 19:27:09,865: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 19:27:09,882: +SERVICE [/rosout/get_loggers] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:27:09,882: +SERVICE [/rosout/set_logger_level] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:27:09,883: +PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:27:09,884: +SUB [/rosout] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:45:04,348: -PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:45:04,349: -SUB [/rosout] /rosout http://mrmunda-VirtualBox:46087/
[rosmaster.master][INFO] 2023-02-02 19:45:04,349: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mrmunda-VirtualBox:52771
[rosmaster.master][INFO] 2023-02-02 19:45:04,349: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mrmunda-VirtualBox:52771
[rosmaster.main][INFO] 2023-02-02 19:45:04,458: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-02-02 19:45:04,458: stopping master...
[rospy.core][INFO] 2023-02-02 19:45:04,458: signal_shutdown [atexit]
