[rosmaster.main][INFO] 2023-02-02 22:50:14,800: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-02-02 22:50:14,802: Starting ROS Master Node
[xmlrpc][INFO] 2023-02-02 22:50:14,802: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-02-02 22:50:14,803: Started XML-RPC server [http://mrmunda-VirtualBox:11311/]
[xmlrpc][INFO] 2023-02-02 22:50:14,803: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-02-02 22:50:14,804: Master initialized: port[11311], uri[http://mrmunda-VirtualBox:11311/]
[rosmaster.master][INFO] 2023-02-02 22:50:14,825: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:50:14,825: +PARAM [/roslaunch/uris/host_mrmunda_virtualbox__38297] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:50:14,898: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:50:14,898: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-02-02 22:50:14,924: +SERVICE [/rosout/get_loggers] /rosout http://mrmunda-VirtualBox:38459/
[rosmaster.master][INFO] 2023-02-02 22:50:14,924: +SERVICE [/rosout/set_logger_level] /rosout http://mrmunda-VirtualBox:38459/
[rosmaster.master][INFO] 2023-02-02 22:50:14,927: +PUB [/rosout_agg] /rosout http://mrmunda-VirtualBox:38459/
[rosmaster.master][INFO] 2023-02-02 22:50:14,929: +SUB [/rosout] /rosout http://mrmunda-VirtualBox:38459/
